REPLICATE,Pos,Name,Gene ,Cp
76Ca,A1,Sample 1,Housekeeping,19.5
76Ca,A2,Sample 2,Housekeeping,18.97
76Ca,A3,Sample 3,Housekeeping,18.92
76Cb,A4,Sample 4,Housekeeping,19.91
76Cb,A5,Sample 5,Housekeeping,19.95
76Cb,A6,Sample 6,Housekeeping,19.94
76Cc,A7,Sample 7,Housekeeping,19.13
76Cc,A8,Sample 8,Housekeeping,19.29
76Cc,A9,Sample 9,Housekeeping,19.22
76Cd,A10,Sample 10,Housekeeping,
76Cd,A11,Sample 11,Housekeeping,
76Cd,A12,Sample 12,Housekeeping,
76Ce,C1,Sample 25,Housekeeping,19.83
76Ce,C2,Sample 26,Housekeeping,18.85
76Ce,C3,Sample 27,Housekeeping,19.95
76Ra,E1,Sample 49,Housekeeping,19.69
76Ra,E2,Sample 50,Housekeeping,19.64
76Ra,E3,Sample 51,Housekeeping,19.6
76Rb,E4,Sample 52,Housekeeping,18.85
76Rb,E5,Sample 53,Housekeeping,18.88
76Rb,E6,Sample 54,Housekeeping,18.9
76Rc,E7,Sample 55,Housekeeping,18.84
76Rc,E8,Sample 56,Housekeeping,18.86
76Rc,E9,Sample 57,Housekeeping,18.89
76Rd,E10,Sample 58,Housekeeping,18.76
76Rd,E11,Sample 59,Housekeeping,18.78
76Rd,E12,Sample 60,Housekeeping,18.82
76Re,G1,Sample 73,Housekeeping,18.58
76Re,G2,Sample 74,Housekeeping,18.58
76Re,G3,Sample 75,Housekeeping,18.64
76Ca,B1,Sample 13,PKC,25.93
76Ca,B2,Sample 14,PKC,25.74
76Ca,B3,Sample 15,PKC,25.83
76Cb,B4,Sample 16,PKC,27.03
76Cb,B5,Sample 17,PKC,27.08
76Cb,B6,Sample 18,PKC,27.17
76Cc,B7,Sample 19,PKC,25.75
76Cc,B8,Sample 20,PKC,25.86
76Cc,B9,Sample 21,PKC,25.85
76Cd,B10,Sample 22,PKC,
76Cd,B11,Sample 23,PKC,
76Cd,B12,Sample 24,PKC,
76Ce,D1,Sample 37,PKC,26.88
76Ce,D2,Sample 38,PKC,
76Ce,D3,Sample 39,PKC,26.91
76Ra,F1,Sample 61,PKC,26.67
76Ra,F2,Sample 62,PKC,26.74
76Ra,F3,Sample 63,PKC,26.65
76Rb,F4,Sample 64,PKC,26.22
76Rb,F5,Sample 65,PKC,26.27
76Rb,F6,Sample 66,PKC,26.23
76Rc,F7,Sample 67,PKC,26.03
76Rc,F8,Sample 68,PKC,26.02
76Rc,F9,Sample 69,PKC,26.12
76Rd,F10,Sample 70,PKC,25.97
76Rd,F11,Sample 71,PKC,25.96
76Rd,F12,Sample 72,PKC,26.02
76Re,H1,Sample 85,PKC,30.89
76Re,H2,Sample 86,PKC,25.92
76Re,H3,Sample 87,PKC,25.78
77Ca,A1,Sample 1,Housekeeping,20.18
77Ca,A2,Sample 2,Housekeeping,20.32
77Ca,A3,Sample 3,Housekeeping,20.24
77Cb,A4,Sample 4,Housekeeping,19.81
77Cb,A5,Sample 5,Housekeeping,19.87
77Cb,A6,Sample 6,Housekeeping,19.85
77Cc,A7,Sample 7,Housekeeping,19.84
77Cc,A8,Sample 8,Housekeeping,19.72
77Cc,A9,Sample 9,Housekeeping,19.8
77Cd,A10,Sample 10,Housekeeping,19.45
77Cd,A11,Sample 11,Housekeeping,19.5
77Cd,A12,Sample 12,Housekeeping,19.71
77Ce,C1,Sample 25,Housekeeping,19.27
77Ce,C2,Sample 26,Housekeeping,19.44
77Ce,C3,Sample 27,Housekeeping,19.3
77Ra,E1,Sample 49,Housekeeping,19.64
77Ra,E2,Sample 50,Housekeeping,19.84
77Ra,E3,Sample 51,Housekeeping,19.68
77Rb,E4,Sample 52,Housekeeping,19.76
77Rb,E5,Sample 53,Housekeeping,19.7
77Rb,E6,Sample 54,Housekeeping,19.74
77Rc,E7,Sample 55,Housekeeping,20.7
77Rc,E8,Sample 56,Housekeeping,20.71
77Rc,E9,Sample 57,Housekeeping,20.7
77Rd,E10,Sample 58,Housekeeping,19.7
77Rd,E11,Sample 59,Housekeeping,19.68
77Rd,E12,Sample 60,Housekeeping,19.76
77Re,G1,Sample 73,Housekeeping,18.9
77Re,G2,Sample 74,Housekeeping,18.83
77Re,G3,Sample 75,Housekeeping,18.89
77Ca,B1,Sample 13,PKC2,26.77
77Ca,B2,Sample 14,PKC2,26.79
77Ca,B3,Sample 15,PKC2,26.86
77Cb,B4,Sample 16,PKC2,26.58
77Cb,B5,Sample 17,PKC2,26.53
77Cb,B6,Sample 18,PKC2,26.47
77Cc,B7,Sample 19,PKC2,26.44
77Cc,B8,Sample 20,PKC2,26.25
77Cc,B9,Sample 21,PKC2,26.42
77Cd,B10,Sample 22,PKC2,26.04
77Cd,B11,Sample 23,PKC2,25.95
77Cd,B12,Sample 24,PKC2,26.03
77Ce,D1,Sample 37,PKC2,26.1
77Ce,D2,Sample 38,PKC2,26.05
77Ce,D3,Sample 39,PKC2,26.13
77Ra,F1,Sample 61,PKC2,26.68
77Ra,F2,Sample 62,PKC2,26.62
77Ra,F3,Sample 63,PKC2,26.58
77Rb,F4,Sample 64,PKC2,26.46
77Rb,F5,Sample 65,PKC2,26.57
77Rb,F6,Sample 66,PKC2,26.58
77Rc,F7,Sample 67,PKC2,27.22
77Rc,F8,Sample 68,PKC2,27.18
77Rc,F9,Sample 69,PKC2,27.47
77Rd,F10,Sample 70,PKC2,26.42
77Rd,F11,Sample 71,PKC2,26.31
77Rd,F12,Sample 72,PKC2,26.35
77Re,H1,Sample 85,PKC2,26.64
77Re,H2,Sample 86,PKC2,26.26
77Re,H3,Sample 87,PKC2,26.2
91Ca,A1,Sample 1,Housekeeping,20.2
91Ca,A2,Sample 2,Housekeeping,20.21
91Ca,A3,Sample 3,Housekeeping,20.2
91Cb,A4,Sample 4,Housekeeping,20.09
91Cb,A5,Sample 5,Housekeeping,20.07
91Cb,A6,Sample 6,Housekeeping,20.14
91Cc,A7,Sample 7,Housekeeping,19.52
91Cc,A8,Sample 8,Housekeeping,19.48
91Cc,A9,Sample 9,Housekeeping,19.54
91Cd,A10,Sample 10,Housekeeping,19.43
91Cd,A11,Sample 11,Housekeeping,19.59
91Cd,A12,Sample 12,Housekeeping,19.48
91Ce,C1,Sample 25,Housekeeping,18.74
91Ce,C2,Sample 26,Housekeeping,18.76
91Ce,C3,Sample 27,Housekeeping,18.65
91Ra,E1,Sample 49,Housekeeping,19.31
91Ra,E2,Sample 50,Housekeeping,19.44
91Ra,E3,Sample 51,Housekeeping,19.5
91Rb,E4,Sample 52,Housekeeping,20.02
91Rb,E5,Sample 53,Housekeeping,20.09
91Rb,E6,Sample 54,Housekeeping,20.13
91Rc,E7,Sample 55,Housekeeping,19.82
91Rc,E8,Sample 56,Housekeeping,19.87
91Rc,E9,Sample 57,Housekeeping,19.86
91Rd,E10,Sample 58,Housekeeping,19.18
91Rd,E11,Sample 59,Housekeeping,19.23
91Rd,E12,Sample 60,Housekeeping,19.47
91Re,G1,Sample 73,Housekeeping,18.61
91Re,G2,Sample 74,Housekeeping,18.56
91Re,G3,Sample 75,Housekeeping,18.64
91Ca,B1,Sample 13,BCOP,26.52
91Ca,B2,Sample 14,BCOP,26.1
91Ca,B3,Sample 15,BCOP,26.31
91Cb,B4,Sample 16,BCOP,26.06
91Cb,B5,Sample 17,BCOP,26.11
91Cb,B6,Sample 18,BCOP,26.07
91Cc,B7,Sample 19,BCOP,25.08
91Cc,B8,Sample 20,BCOP,24.98
91Cc,B9,Sample 21,BCOP,25.02
91Cd,B10,Sample 22,BCOP,25.67
91Cd,B11,Sample 23,BCOP,25.67
91Cd,B12,Sample 24,BCOP,25.85
91Ce,D1,Sample 37,BCOP,24.8
91Ce,D2,Sample 38,BCOP,25.2
91Ce,D3,Sample 39,BCOP,25.01
91Ra,F1,Sample 61,BCOP,25.7
91Ra,F2,Sample 62,BCOP,25.69
91Ra,F3,Sample 63,BCOP,25.76
91Rb,F4,Sample 64,BCOP,26.49
91Rb,F5,Sample 65,BCOP,26.52
91Rb,F6,Sample 66,BCOP,26.67
91Rc,F7,Sample 67,BCOP,25.73
91Rc,F8,Sample 68,BCOP,25.6
91Rc,F9,Sample 69,BCOP,25.75
91Rd,F10,Sample 70,BCOP,25.91
91Rd,F11,Sample 71,BCOP,25.95
91Rd,F12,Sample 72,BCOP,25.9
91Re,H1,Sample 85,BCOP,25.53
91Re,H2,Sample 86,BCOP,25.47
91Re,H3,Sample 87,BCOP,25.36
92Ca,A1,Sample 1,Housekeeping,20.37
92Ca,A2,Sample 2,Housekeeping,20.2
92Ca,A3,Sample 3,Housekeeping,20.19
92Cb,A4,Sample 4,Housekeeping,20.59
92Cb,A5,Sample 5,Housekeeping,20.75
92Cb,A6,Sample 6,Housekeeping,20.76
92Cc,A7,Sample 7,Housekeeping,19.44
92Cc,A8,Sample 8,Housekeeping,19.72
92Cc,A9,Sample 9,Housekeeping,19.71
92Cd,A10,Sample 10,Housekeeping,19.63
92Cd,A11,Sample 11,Housekeeping,19.81
92Cd,A12,Sample 12,Housekeeping,19.71
92Ce,C1,Sample 25,Housekeeping,20.23
92Ce,C2,Sample 26,Housekeeping,20.18
92Ce,C3,Sample 27,Housekeeping,20.28
92Ra,E1,Sample 49,Housekeeping,19.97
92Ra,E2,Sample 50,Housekeeping,19.85
92Ra,E3,Sample 51,Housekeeping,19.72
92Rb,E4,Sample 52,Housekeeping,19.92
92Rb,E5,Sample 53,Housekeeping,19.95
92Rb,E6,Sample 54,Housekeeping,20.15
92Rc,E7,Sample 55,Housekeeping,19.43
92Rc,E8,Sample 56,Housekeeping,19.46
92Rc,E9,Sample 57,Housekeeping,19.44
92Rd,E10,Sample 58,Housekeeping,19.36
92Rd,E11,Sample 59,Housekeeping,19.48
92Rd,E12,Sample 60,Housekeeping,19.35
92Re,G1,Sample 73,Housekeeping,19.53
92Re,G2,Sample 74,Housekeeping,19.47
92Re,G3,Sample 75,Housekeeping,19.63
92Ca,B1,Sample 13,BCOP2,28.17
92Ca,B2,Sample 14,BCOP2,26.76
92Ca,B3,Sample 15,BCOP2,27.11
92Cb,B4,Sample 16,BCOP2,26.94
92Cb,B5,Sample 17,BCOP2,27.18
92Cb,B6,Sample 18,BCOP2,27.79
92Cc,B7,Sample 19,BCOP2,26.46
92Cc,B8,Sample 20,BCOP2,26.22
92Cc,B9,Sample 21,BCOP2,25.65
92Cd,B10,Sample 22,BCOP2,25.84
92Cd,B11,Sample 23,BCOP2,25.91
92Cd,B12,Sample 24,BCOP2,26.61
92Ce,D1,Sample 37,BCOP2,26.63
92Ce,D2,Sample 38,BCOP2,26.64
92Ce,D3,Sample 39,BCOP2,26.44
92Ra,F1,Sample 61,BCOP2,27.51
92Ra,F2,Sample 62,BCOP2,26.47
92Ra,F3,Sample 63,BCOP2,25.09
92Rb,F4,Sample 64,BCOP2,26.19
92Rb,F5,Sample 65,BCOP2,26.04
92Rb,F6,Sample 66,BCOP2,26.07
92Rc,F7,Sample 67,BCOP2,26.02
92Rc,F8,Sample 68,BCOP2,26.12
92Rc,F9,Sample 69,BCOP2,25.95
92Rd,F10,Sample 70,BCOP2,26.2
92Rd,F11,Sample 71,BCOP2,26.18
92Rd,F12,Sample 72,BCOP2,26.59
92Re,H1,Sample 85,BCOP2,
92Re,H2,Sample 86,BCOP2,28.09
92Re,H3,Sample 87,BCOP2,26.74
