Sample ,Blank,P abs 1 ,P abs 2 ,P abs 3,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P
B1.08A.3,0.0447,0.094899997,0.094700001,0.094099998,0.094566666,0.094566666,0.109034147,0.038800001,0.131799996,0.130400002,0.130999997,0.131066665,0.52426666,0.492669269,4.518486028
B1.08A.1,0.045299999,0.101800002,0.097400002,0.1039,0.101033335,0.101033335,0.143020949,0.038400002,0.114100002,0.118600003,0.119099997,0.117266667,0.46906667,0.431634955,3.017984128
B1.08B.6,0.049199998,0.113399997,0.109899998,0.116700001,0.113333332,0.113333332,0.207665908,0.039900001,0.149599999,0.160300002,0.159799993,0.156566665,0.626266658,0.605450083,2.915500623
B1.08B.1,0.055199999,0.085299999,0.083400004,0.083800003,0.084166668,0.084166668,0.054374996,0.0407,0.123499997,0.122400001,0.128000006,0.124633335,0.498533338,0.464216082,8.537307804
B1.08C.6,0.048700001,0.095399998,0.090400003,0.092600003,0.092800001,0.092800001,0.099749109,0.042599998,0.189199999,0.180000007,0.184300005,0.184500004,0.738000015,0.728993018,7.308265969
B1.08C.5,0.0473,0.089000002,0.090899996,0.091200002,0.090366667,0.090366667,0.086960258,0.0418,0.131300002,0.126699999,0.136800006,0.131600002,0.52640001,0.495028101,5.692578561
B1.08D.3,0.0484,0.093500003,0.096900001,0.102499999,0.097633334,0.097633334,0.125151605,0.046799999,0.181999996,0.178000003,0.186100006,0.182033335,0.728133341,0.718083492,5.73770903
B1.08D.6,0.046500001,0.089900002,0.084899999,0.085299999,0.0867,0.0867,0.067689399,0.045299999,0.128999993,0.135299996,0.139500007,0.134599999,0.538399994,0.508296416,7.509247003
B1.91A.3,0.048799999,0.106200002,0.103799999,0.1065,0.1055,0.1055,0.166496352,0.041700002,0.146899998,0.149299994,0.145799994,0.147333329,0.589333316,0.564613098,3.391143946
B1.91A.5,0.0504,0.1184,0.105400003,0.103600003,0.109133335,0.109133335,0.185592032,0.043900002,0.169499993,0.172099993,0.170699999,0.170766662,0.683066646,0.668253505,3.600658376
B1.91B.3,0.0493,0.107000001,0.108400002,0.115599997,0.110333333,0.110333333,0.191898848,0.042399999,0.158600003,0.155900002,0.151199996,0.155233334,0.620933334,0.599553057,3.124318165
B1.91B.1,0.044100001,0.101199999,0.0973,0.102399997,0.100299999,0.100299999,0.139166764,0.038400002,0.121600002,0.115099996,0.097800002,0.1115,0.446,0.40613027,2.918299294
B1.91C.1,0.046999998,0.096000001,0.092,0.094800003,0.094266668,0.094266668,0.107457453,0.040399998,0.164100006,0.169300005,0.173600003,0.169000005,0.676000019,0.660439976,6.146060233
B1.91C.2,0.048,0.113300003,0.110699996,0.101800002,0.108600001,0.108600001,0.18278899,0.042100001,0.204899997,0.209700003,0.212699994,0.209099998,0.836399992,0.837793309,4.583390445
B1.91D.4,0.047800001,0.095399998,0.096500002,0.094700001,0.095533334,0.095533334,0.114114654,0.043299999,0.190200001,0.180199996,0.179199994,0.183199997,0.732799987,0.723243376,6.337865928
B1.91D.1,0.047499999,0.1021,0.110299997,0.110600002,0.107666666,0.107666666,0.177883675,0.0436,0.198200002,0.174899995,0.169400007,0.180833335,0.723333339,0.712776157,4.006979029
B2.08A.3,0.042599998,0.096299998,0.097499996,0.098399997,0.097399997,0.097399997,0.167589008,0.039799999,0.187399998,0.180399999,0.184799999,0.184199999,0.736799995,0.711747945,4.246984648
B2.08A.6,0.0403,0.096199997,0.090800002,0.085699998,0.090899999,0.090899999,0.131947568,0.0392,0.111900002,0.113399997,0.115400001,0.113566667,0.454266667,0.406462151,3.080482325
B2.08B.4,0.040600002,0.090499997,0.091300003,0.088,0.089933333,0.089933333,0.12664705,0.038199998,0.114399999,0.116099998,0.132100001,0.120866666,0.483466665,0.43801363,3.458537955
B2.08B.2,0.043499999,0.088,0.087700002,0.085299999,0.087,0.087,0.110562704,0.041000001,0.104500003,0.095600002,0.100500003,0.100200002,0.40080001,0.348689812,3.153774287
B2.08C.1,0.045299999,0.090599999,0.081200004,0.090899996,0.087566666,0.087566666,0.113669905,0.0425,0.148200005,0.136700004,0.148200005,0.144366672,0.577466687,0.539583493,4.746933605
B2.08C.6,0.045299999,0.086199999,0.094999999,0.094599999,0.091933332,0.091933332,0.137613645,0.042300001,0.187000006,0.185399994,0.1778,0.1834,0.733600001,0.708290255,5.146947845
B2.08D.4,0.0612,0.110699996,0.098099999,0.098499998,0.102433331,0.102433331,0.195188289,0.045499999,0.172600001,0.170699999,0.151999995,0.165099998,0.660399993,0.629195436,3.223530668
B2.08D.2,0.0612,0.110699996,0.098099999,0.098499998,0.102433331,0.102433331,0.195188289,0.046799999,0.184,0.186100006,0.189400002,0.186500003,0.746000012,0.721688841,3.697398266
B2.91A.5,0.052200001,0.104099996,0.114600003,0.108599998,0.109099999,0.109099999,0.231743628,0.0418,0.183599994,0.174999997,0.186199993,0.181599995,0.726399978,0.700510413,3.022781762
B2.91A.6,0.047899999,0.101099998,0.103100002,0.104900002,0.103033334,0.103033334,0.198478284,0.042399999,0.1228,0.114600003,0.121600002,0.119666668,0.478666673,0.432827094,2.180727713
B2.91B.4,0.044599999,0.083999999,0.093199998,0.092299998,0.089833332,0.089833332,0.126098711,0.041200001,0.095899999,0.094899997,0.092900001,0.094566666,0.378266662,0.32434185,2.572126609
B2.91B.6,0.043200001,0.086999997,0.096000001,0.093900003,0.0923,0.0923,0.139624195,0.0504,0.118799999,0.095100001,0.122400001,0.1121,0.448400001,0.40012304,2.865714209
B2.91C.4,0.049199998,0.099699996,0.095899999,0.114,0.103199999,0.103199999,0.199392155,0.040399998,0.195999995,0.194600001,0.189799994,0.193466663,0.773866653,0.751799589,3.770457207
B2.91C.1,0.042800002,0.0792,0.0792,0.081,0.0798,0.0798,0.071082943,0.0403,0.1699,0.176499993,0.184400007,0.176933333,0.707733333,0.680340539,9.57108008
B2.91D.4,0.046500001,0.093400002,0.089400001,0.093800001,0.092200001,0.092200001,0.13907587,0.041000001,0.114500001,0.108400002,0.115699999,0.112866667,0.45146667,0.403436669,2.900838728
B2.91D.2,0.048999999,0.105700001,0.107900001,0.108400002,0.107333335,0.107333335,0.222056478,0.0449,0.171000004,0.168500006,0.161500007,0.167000006,0.668000023,0.637407497,2.870474678
B3.08A.4,0.0601,0.120399997,0.125300005,0.125,0.123566667,0.123566667,0.305541471,0.0495,0.199200004,0.202199996,0.218400002,0.2066,0.826400002,0.853050514,2.791930373
B3.08A.4,0.0462,0.074299999,0.080600001,0.080799997,0.078566665,0.078566665,0.038273306,0.039799999,0.128299996,0.127299994,0.132499993,0.129366661,0.517466644,0.505017739,13.19503832
B3.08B.4,0.0451,0.096799999,0.092500001,0.086999997,0.092099999,0.092099999,0.118651732,0.041999999,0.144299999,0.141599998,0.135600001,0.140499999,0.561999997,0.555187349,4.679133947
B3.08B.1,0.0469,0.089199997,0.086999997,0.089900002,0.088699999,0.088699999,0.098458136,0.0414,0.113899998,0.115800001,0.114100002,0.1146,0.458400001,0.438475466,4.453420347
B3.08C.2,0.048300002,0.086999997,0.083999999,0.083800003,0.084933333,0.084933333,0.076086806,0.043000001,0.141800001,0.135399997,0.141599998,0.139599999,0.558399995,0.551131722,7.243459791
B3.08C.3,0.049699999,0.091300003,0.093999997,0.097800002,0.094366667,0.094366667,0.132114135,0.043699998,0.177499995,0.171599999,0.173500001,0.174199998,0.696799994,0.707047988,5.351796673
B3.08D.1,0.046300001,0.078900002,0.077799998,0.0792,0.078633333,0.078633333,0.038669265,0.044799998,0.163599998,0.166500002,0.166700006,0.165600002,0.662400007,0.668294249,17.2823104
B3.08D.6,0.046300001,0.078900002,0.077799998,0.0792,0.078633333,0.078633333,0.038669265,0.043499999,0.119400002,0.118100002,0.120999999,0.119500001,0.478000005,0.460556098,11.91013307
B3.91A.3,0.046799999,0.086499996,0.085900001,0.087800004,0.086733334,0.086733334,0.086777536,0.041700002,0.158899993,0.170699999,0.172600001,0.167399998,0.66959999,0.67640548,7.794707113
B3.91A.6,0.052099999,0.093999997,0.097000003,0.097499996,0.096166665,0.096166665,0.14280485,0.0438,0.145699993,0.144800007,0.147499993,0.145999998,0.583999991,0.579971721,4.061288671
B3.91B.6,0.045899998,0.099299997,0.089000002,0.0902,0.092833333,0.092833333,0.123007213,0.0418,0.115900002,0.110399999,0.111900002,0.112733334,0.450933337,0.430063801,3.496248629
B3.91B.5,0.042100001,0.099799998,0.105499998,0.098099999,0.101133332,0.101133332,0.172303333,0.037999999,0.081200004,0.084799998,0.087700002,0.084566668,0.338266671,0.303137745,1.759326062
B3.91C.6,0.046100002,0.083999999,0.085600004,0.084899999,0.084833334,0.084833334,0.075492882,0.0405,0.1787,0.171299994,0.186199993,0.178733329,0.714933316,0.727476311,9.636356362
B3.91C.1,0.0438,0.0832,0.086599998,0.084600002,0.0848,0.0848,0.075294902,0.045299999,0.188600004,0.193499997,0.200800002,0.194300001,0.777200003,0.797623634,10.59332855
B3.91D.3,0.0493,0.085600004,0.082099997,0.088100001,0.085266667,0.085266667,0.078066574,0.043400001,0.150999993,0.156800002,0.161300004,0.156366666,0.625466665,0.626686525,8.02759094
B3.91D.3,0.0449,0.080600001,0.079300001,0.077799998,0.079233333,0.079233333,0.042232842,0.0427,0.103500001,0.105300002,0.107100002,0.105300002,0.421200007,0.396567343,9.390022599
B4.08A.6,0.0614,0.091600001,0.089299999,0.089699998,0.0902,0.0902,0.113117224,0.040899999,0.154400006,0.164399996,0.165800005,0.161533336,0.646133343,0.595621095,5.265520809
B4.08A.2,0.043400001,0.086499996,0.064599998,0.084299996,0.078466664,0.078466664,0.057344573,0.039299998,0.146699995,0.143099993,0.141599998,0.143799995,0.575199982,0.521068788,9.086627678
B4.08B.1,0.0438,0.082699999,0.084799998,0.0867,0.084733332,0.084733332,0.087132241,0.0374,0.1039,0.109300002,0.1074,0.106866668,0.427466671,0.365798279,4.198196606
B4.08B.3,0.0469,0.092500001,0.089199997,0.090700001,0.0908,0.0908,0.115969235,0.040600002,0.1259,0.127900004,0.130700007,0.128166671,0.512666682,0.455345105,3.926430204
B4.08C.2,0.044,0.085699998,0.086099997,0.0845,0.085433332,0.085433332,0.090459583,0.0403,0.090400003,0.091200002,0.092399999,0.091333335,0.365333339,0.30049497,3.32186993
B4.08C.3,0.0471,0.082800001,0.078900002,0.091399997,0.084366667,0.084366667,0.085389352,0.041700002,0.173999995,0.168300003,0.173700005,0.172000001,0.688000003,0.639623748,7.490673394
B4.08D.2,0.047400001,0.091799997,0.092799999,0.087300003,0.090633333,0.090633333,0.115177008,0.045299999,0.151500002,0.156399995,0.156800002,0.154899999,0.619599998,0.567734046,4.929230719
B4.08D.4,0.047400001,0.091799997,0.092799999,0.087300003,0.090633333,0.090633333,0.115177008,0.046599999,0.119999997,0.127499998,0.119900003,0.122466666,0.489866664,0.431381854,3.745381666
B4.91A.1,0.0548,0.097199999,0.0964,0.093199998,0.095599999,0.095599999,0.138785311,0.0427,0.1822,0.183200002,0.189700007,0.185033336,0.740133345,0.694416877,5.003532966
B4.91A.4,0.052999999,0.106799997,0.107299998,0.107000001,0.107033332,0.107033332,0.193131944,0.042800002,0.176100001,0.179900005,0.179100007,0.178366671,0.713466684,0.666389711,3.450437554
B4.91B.2,0.046,0.1017,0.113300003,0.112000003,0.109000002,0.109000002,0.202480215,0.040600002,0.101099998,0.100299999,0.099699996,0.100366664,0.401466658,0.338471773,1.671628869
B4.91B.3,0.045600001,0.099100001,0.100299999,0.098700002,0.099366667,0.099366667,0.156689603,0.039299998,0.137500003,0.132200003,0.133399993,0.134366666,0.537466665,0.481410357,3.072382258
B4.91C.3,0.051100001,0.096799999,0.094899997,0.0902,0.093966665,0.093966665,0.131021504,0.0414,0.193299994,0.185299993,0.192399994,0.190333327,0.761333307,0.716698439,5.470082504
B4.91C.6,0.0548,0.093900003,0.092500001,0.092500001,0.092966668,0.092966668,0.126268168,0.039900001,0.161799997,0.163699999,0.1611,0.162199999,0.648799996,0.598423797,4.739308443
B4.91D.2,0.045899998,0.082999997,0.083800003,0.082500003,0.083100001,0.083100001,0.079368447,0.041299999,0.105899997,0.111000001,0.110699996,0.109199998,0.436799993,0.375607778,4.732457218
B4.91D.3,0.0502,0.116099998,0.112400003,0.107699998,0.112066666,0.112066666,0.217057142,0.042399999,0.159199998,0.151899993,0.161500007,0.157533333,0.630133331,0.578804778,2.666600941
